q_bond_0,q_bond_5,bond_local_idx,bond_global_idx,optimal_prob_bid,optimal_prob_ask,optimal_delta_bid,optimal_delta_ask
-35000.0,-30000.0,1,5,0.5495,0.2723,0.011439569,0.13239522
-35000.0,-24000.0,1,5,0.5495,0.2723,0.011439569,0.13239522
-35000.0,-18000.0,1,5,0.5495,0.2723,0.011439569,0.13239522
-35000.0,-12000.0,1,5,0.4208,0.024799999,0.07011523,0.7088051
-35000.0,-6000.0,1,5,0.3416,0.094100006,0.10201914,0.29877952
-35000.0,0.0,1,5,0.203,0.203,0.17138074,0.17138074
-35000.0,6000.0,1,5,0.094100006,0.3416,0.29877952,0.10201914
-35000.0,12000.0,1,5,0.024799999,0.4208,0.7088051,0.07011523
-35000.0,18000.0,1,5,0.2723,0.5495,0.13239522,0.011439569
-35000.0,24000.0,1,5,0.2723,0.5495,0.13239522,0.011439569
-35000.0,30000.0,1,5,0.2723,0.5495,0.13239522,0.011439569
-28000.0,-30000.0,1,5,0.5495,0.2723,0.011439569,0.13239522
-28000.0,-24000.0,1,5,0.5495,0.2723,0.011439569,0.13239522
-28000.0,-18000.0,1,5,0.5495,0.2723,0.011439569,0.13239522
-28000.0,-12000.0,1,5,0.4208,0.024799999,0.07011523,0.7088051
-28000.0,-6000.0,1,5,0.3416,0.094100006,0.10201914,0.29877952
-28000.0,0.0,1,5,0.203,0.203,0.17138074,0.17138074
-28000.0,6000.0,1,5,0.094100006,0.3416,0.29877952,0.10201914
-28000.0,12000.0,1,5,0.024799999,0.4208,0.7088051,0.07011523
-28000.0,18000.0,1,5,0.2723,0.5495,0.13239522,0.011439569
-28000.0,24000.0,1,5,0.2723,0.5495,0.13239522,0.011439569
-28000.0,30000.0,1,5,0.2723,0.5495,0.13239522,0.011439569
-21000.0,-30000.0,1,5,0.5495,0.2723,0.011439569,0.13239522
-21000.0,-24000.0,1,5,0.5495,0.2723,0.011439569,0.13239522
-21000.0,-18000.0,1,5,0.5495,0.2723,0.011439569,0.13239522
-21000.0,-12000.0,1,5,0.4208,0.024799999,0.07011523,0.7088051
-21000.0,-6000.0,1,5,0.3416,0.094100006,0.10201914,0.29877952
-21000.0,0.0,1,5,0.203,0.203,0.17138074,0.17138074
-21000.0,6000.0,1,5,0.094100006,0.3416,0.29877952,0.10201914
-21000.0,12000.0,1,5,0.024799999,0.4208,0.7088051,0.07011523
-21000.0,18000.0,1,5,0.2723,0.5495,0.13239522,0.011439569
-21000.0,24000.0,1,5,0.2723,0.5495,0.13239522,0.011439569
-21000.0,30000.0,1,5,0.2723,0.5495,0.13239522,0.011439569
-14000.0,-30000.0,1,5,0.5495,0.2723,0.011439569,0.13239522
-14000.0,-24000.0,1,5,0.5495,0.2723,0.011439569,0.13239522
-14000.0,-18000.0,1,5,0.5495,0.2723,0.011439569,0.13239522
-14000.0,-12000.0,1,5,0.4208,0.024799999,0.07011523,0.7088051
-14000.0,-6000.0,1,5,0.3416,0.094100006,0.10201914,0.29877952
-14000.0,0.0,1,5,0.203,0.203,0.17138074,0.17138074
-14000.0,6000.0,1,5,0.094100006,0.3416,0.29877952,0.10201914
-14000.0,12000.0,1,5,0.024799999,0.4208,0.7088051,0.07011523
-14000.0,18000.0,1,5,0.2723,0.5495,0.13239522,0.011439569
-14000.0,24000.0,1,5,0.2723,0.5495,0.13239522,0.011439569
-14000.0,30000.0,1,5,0.2723,0.5495,0.13239522,0.011439569
-7000.0,-30000.0,1,5,0.5495,0.2723,0.011439569,0.13239522
-7000.0,-24000.0,1,5,0.5495,0.2723,0.011439569,0.13239522
-7000.0,-18000.0,1,5,0.5495,0.2723,0.011439569,0.13239522
-7000.0,-12000.0,1,5,0.4208,0.024799999,0.07011523,0.7088051
-7000.0,-6000.0,1,5,0.3416,0.094100006,0.10201914,0.29877952
-7000.0,0.0,1,5,0.203,0.203,0.17138074,0.17138074
-7000.0,6000.0,1,5,0.094100006,0.3416,0.29877952,0.10201914
