iteration,avg_reward_long,rolling_avg_reward_long
0,191.62593897380827,191.62593897380827
1,190.14260671033858,190.88427284207341
2,192.48880071029663,191.41911546481447
3,190.0234455587387,191.07019798829552
4,194.0712425048828,191.67040689161297
5,192.23265326433182,191.76411462039945
6,193.63981394901276,192.03207166734418
7,191.8492496225357,192.00921891174312
8,193.13351579055785,192.13414078716698
9,192.29799395046234,192.1505261034965
10,193.0862939891815,192.23559591128605
11,191.58962850437163,192.1817652940432
12,190.67838015918733,192.06612028366968
13,191.53497575616836,192.02818138884817
14,195.47644878969191,192.25806588223773
15,194.68442172050476,192.40971312212943
16,191.96757903728485,192.38370523478562
17,193.11782864217759,192.42448986852963
18,192.8652696972847,192.44768880688517
19,194.47773105363845,192.54919091922284
20,191.01162548866273,192.47597351776759
21,191.913839112854,192.45042195390786
22,192.91993750190736,192.4708356733861
23,194.6454596499443,192.56144500574268
24,196.54360962057115,192.72073159033582
25,192.18313068990707,192.74301925897976
26,191.51372055797577,192.79786381288525
27,194.59108139257432,192.88195504017636
28,195.18493025550842,193.08841442804714
29,193.92669013519287,193.08263233325957
30,195.04726856241226,193.1952169451828
31,193.44927696199417,193.18759546570203
32,192.27449640493393,193.204605336998
33,191.13501615486146,193.12466535157014
34,194.61434471702574,193.21731938223272
35,193.04649433488845,193.21572739606097
36,194.1340098049164,193.3175026480828
37,194.01049542512894,193.45078725872045
38,192.3387170525551,193.48293691057592
39,194.04307949209212,193.42560213867193
40,193.22239038267136,193.36712088515858
41,196.14847630462646,193.53435677585227
42,195.5793409365654,193.63281726762776
43,192.43209350652694,193.6154902199974
44,192.8665635543823,193.55104352002715
45,193.9110466457367,193.66702036631014
46,192.6257152739525,193.6954954127541
47,194.64248461694717,193.76439729735569
48,193.06347548713683,193.7011179308434
49,195.7658484799385,193.67000748521804
50,195.16641504211427,193.78933885930638
51,194.33258566122055,193.9020934634362
52,196.30551975536346,193.97067099794774
53,197.07014816141128,194.04607971418383
54,194.05349438152314,194.05115188403707
55,198.53880199375152,194.1908132212906
56,197.91308739414214,194.36936563857648
57,198.3141809996605,194.6109530223655
58,196.14505192890167,194.81135445332708
59,196.36941828832627,194.8815573961791
60,196.83049956979752,195.03291760557545
61,194.56869918441774,195.0503051807555
62,196.9683748205185,195.16862035657107
63,198.60292528076172,195.41918868569937
64,196.5214369480133,195.5183229839362
65,197.54107080774307,195.69107020093907
66,196.5709609199524,195.70796958555212
