q_bond_0,q_bond_5,bond_local_idx,bond_global_idx,optimal_prob_bid,optimal_prob_ask,optimal_delta_bid,optimal_delta_ask
-35000.0,-30000.0,1,5,0.4894367,0.046653923,0.0408835,0.47549486
-35000.0,-24000.0,1,5,0.4756575,0.052370988,0.047032136,0.44115347
-35000.0,-18000.0,1,5,0.46762136,0.05874545,0.050539684,0.40924448
-35000.0,-12000.0,1,5,0.4715118,0.06584187,0.04884831,0.37962076
-35000.0,-6000.0,1,5,0.43459156,0.084079735,0.06447202,0.3224503
-35000.0,0.0,1,5,0.398383,0.11269443,0.079156935,0.2639788
-35000.0,6000.0,1,5,0.35540965,0.14847651,0.09639704,0.21718544
-35000.0,12000.0,1,5,0.2966166,0.20094812,0.12115922,0.17277777
-35000.0,18000.0,1,5,0.21197486,0.25818533,0.16548306,0.1393513
-35000.0,24000.0,1,5,0.14056343,0.33202347,0.2259303,0.10596986
-35000.0,30000.0,1,5,0.08256976,0.39929357,0.32640946,0.078791745
-28000.0,-30000.0,1,5,0.49223837,0.045989156,0.039610576,0.47992104
-28000.0,-24000.0,1,5,0.4755755,0.05162914,0.047068182,0.44526812
-28000.0,-18000.0,1,5,0.46753958,0.057918802,0.050575104,0.41306645
-28000.0,-12000.0,1,5,0.45299682,0.06492227,0.05679474,0.38316765
-28000.0,-6000.0,1,5,0.41638413,0.08473962,0.07190687,0.3207554
-28000.0,0.0,1,5,0.3806712,0.120442584,0.086247355,0.25203258
-28000.0,6000.0,1,5,0.32617706,0.15755941,0.108408354,0.20797789
-28000.0,12000.0,1,5,0.2685099,0.21716501,0.13422745,0.16221866
-28000.0,18000.0,1,5,0.15866356,0.28643414,0.20691267,0.12576428
-28000.0,24000.0,1,5,0.09031309,0.36322856,0.30723345,0.09324246
-28000.0,30000.0,1,5,0.06145731,0.43185437,0.39728326,0.06559848
-21000.0,-30000.0,1,5,0.49138498,0.04716446,0.039999172,0.4721628
-21000.0,-24000.0,1,5,0.47658777,0.051645678,0.046622533,0.44517517
-21000.0,-18000.0,1,5,0.46745777,0.057103112,0.05061052,0.41692346
-21000.0,-12000.0,1,5,0.43461102,0.06401464,0.06446399,0.38674748
-21000.0,-6000.0,1,5,0.39840204,0.08857283,0.079149306,0.3113099
-21000.0,0.0,1,5,0.36327142,0.12864624,0.09322521,0.2406275
-21000.0,6000.0,1,5,0.2964498,0.16780882,0.12123364,0.19849342
-21000.0,12000.0,1,5,0.20723763,0.2592249,0.16855422,0.13882604
-21000.0,18000.0,1,5,0.09945236,0.33361304,0.28771153,0.105310574
-21000.0,24000.0,1,5,0.06940973,0.41372684,0.36657265,0.072982065
-21000.0,30000.0,1,5,0.05919162,0.45878196,0.40721676,0.054338753
-14000.0,-30000.0,1,5,0.48457646,0.048993744,0.04307288,0.46067548
-14000.0,-24000.0,1,5,0.47374475,0.053811055,0.047871903,0.4334232
