bonds_[0],bonds_[13],"bonds_[0, 5]",bonds_[5]
88.14778214950562,0.1798657705843448,5.800097230708599,-42.192785134065154
181.3262591949463,-0.2923625436246395,149.5953861579895,92.07011492795944
177.51400154533385,0.0280429253756999,158.08888226847648,88.79426962480545
181.17927330284118,-0.907714937454462,153.92025847055913,78.71969185800552
181.9232488132,-0.7242096235930919,151.15329123294353,84.02886199321746
182.6037541229248,-0.7417413247525692,148.89607432954907,82.59477318792344
189.29641736030578,-1.072562442791462,153.54067834641933,83.78736982622146
187.3371884469986,-0.6550309223353863,148.4722269962311,89.34058498725891
190.60868926353456,-0.6923816336274147,148.80431663162707,91.06726972694398
189.96891187353134,-0.9344801399350168,150.20650034959317,87.51349981451034
190.57694107580184,-1.2312943487942218,148.7344734851241,81.50955453491211
191.99870812892914,-2.117336416250468,151.43571849241258,89.8306471335411
193.81429267120362,-1.1908763838589191,150.6533734013319,88.05948594064712
193.42163611793518,-1.1567488866329194,154.30600517630575,87.36011540355682
194.33650973396303,-2.03559990336895,151.23050559590757,82.21229657850266
195.4427333377838,-2.7584233464717864,156.2572474707365,80.41573016738892
195.50963440856933,-2.836152169948816,155.94729914724826,81.35554913549423
196.5698651824951,-5.892539944857359,154.0244341901779,85.68373699703217
198.8465849105835,-6.436800631862879,157.82677720701693,85.30153321714401
195.9201145980835,-10.067664807403087,156.2953711003542,84.74228107337952
196.95640415649413,-11.072401486355066,157.89354112818242,85.84571488103866
197.77668137741088,-13.49111735549569,158.6253001069784,85.16069044885636
197.69431029052734,-20.328576867949963,158.860955056262,79.46135858726501
198.13270886764528,-21.372948782747983,158.90751180431843,84.44309586849212
197.39003646316527,-21.921291867214443,159.35035061502455,86.70304956436158
199.84558747558594,-25.29253620315194,162.04258094530107,79.2023181818962
199.48211918792725,-29.12198073440194,161.6625771466732,81.40276830511092
198.1932173828125,-32.78491520705819,161.94043639142512,86.52616722307205
201.652338861084,-34.98556110549569,163.8772230396986,80.75034742860794
199.44541785125733,-37.35575993362069,161.25591753180026,89.46020328626632
201.68303709564208,-39.87746276565194,163.7760071791321,83.67213382854462
200.4624925819397,-57.74021261013746,162.217819697994,91.44136058893204
200.46086611099244,-49.20433487576246,164.6494393645227,83.12864001960754
199.91195443649292,-46.254215792995694,161.78054381222725,80.26199780988694
200.36345216445923,-47.89547516799569,159.71259101909624,82.89385916814804
201.55920224227904,-49.621593136745695,163.57026966536046,86.00205461559295
199.21608869094848,-51.50890837112069,160.30371905739307,79.7603353187561
199.87248701171876,-54.0271413789332,163.96718858363627,83.93855168561936
202.02312936172484,-55.231707589870695,163.44034154644012,85.26635383062363
199.8841859046936,-56.02051091018319,162.70208302357196,85.3894102593422
200.90337031860352,-56.97794919143319,165.03590384812355,86.5174763838768
201.16434211578368,-58.04030856643319,164.2198176709175,85.69536205348969
202.74971205673216,-58.94788044143319,164.33328199777603,83.46566165103913
199.61927538146972,-60.16941755080819,163.2612130102396,82.73700054254532
201.08878685455323,-61.39025466018319,164.23101569743156,80.95142589483261
202.170681741333,-62.61191325393319,164.51324406497477,89.42795782585144
199.08033889923095,-63.83737731643319,164.26156450247765,81.38675638427735
200.55070242080689,-65.23198786330819,164.39030792105197,83.41560633955002
201.95604986343383,-80.49169034451246,167.7312759161234,90.06802226467133
200.74956801147462,-66.07283473830819,166.21856137139798,90.19519367294312
